Track for Colin                2010
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/06/2010 10:20:31     27.177 N     66.428 W
08/06/2010 10:22:31     27.178 N     66.428 W
08/06/2010 10:24:31     27.179 N     66.428 W
08/06/2010 10:26:30     27.181 N     66.428 W
08/06/2010 10:28:30     27.182 N     66.429 W
08/06/2010 10:30:30     27.183 N     66.429 W
08/06/2010 10:32:30     27.184 N     66.429 W
08/06/2010 10:34:31     27.185 N     66.430 W
08/06/2010 10:36:31     27.186 N     66.430 W
08/06/2010 10:38:31     27.187 N     66.430 W
08/06/2010 10:40:30     27.188 N     66.431 W
08/06/2010 10:42:30     27.189 N     66.431 W
08/06/2010 10:44:30     27.191 N     66.432 W
08/06/2010 10:46:30     27.192 N     66.432 W
08/06/2010 10:48:31     27.193 N     66.432 W
08/06/2010 10:50:31     27.194 N     66.433 W
08/06/2010 10:52:31     27.195 N     66.433 W
08/06/2010 10:54:31     27.197 N     66.434 W
08/06/2010 10:56:30     27.198 N     66.434 W
08/06/2010 10:58:30     27.199 N     66.435 W
08/06/2010 11:00:30     27.200 N     66.435 W
08/06/2010 11:02:30     27.202 N     66.436 W
08/06/2010 11:04:31     27.203 N     66.436 W
08/06/2010 11:06:31     27.204 N     66.437 W
08/06/2010 11:08:31     27.205 N     66.437 W
08/06/2010 11:10:30     27.207 N     66.438 W
08/06/2010 11:12:30     27.208 N     66.438 W
08/06/2010 11:14:30     27.210 N     66.439 W
08/06/2010 11:16:30     27.211 N     66.439 W
08/06/2010 11:18:31     27.212 N     66.440 W
08/06/2010 11:20:31     27.214 N     66.441 W
08/06/2010 11:22:31     27.215 N     66.441 W
08/06/2010 11:24:31     27.217 N     66.442 W
08/06/2010 11:26:30     27.218 N     66.443 W
08/06/2010 11:28:30     27.220 N     66.443 W
08/06/2010 11:30:30     27.221 N     66.444 W
08/06/2010 11:32:30     27.223 N     66.445 W
08/06/2010 11:34:31     27.224 N     66.445 W
08/06/2010 11:36:31     27.226 N     66.446 W
08/06/2010 11:38:31     27.227 N     66.447 W
08/06/2010 11:40:30     27.229 N     66.448 W
08/06/2010 11:42:30     27.230 N     66.448 W
08/06/2010 11:44:30     27.232 N     66.449 W
08/06/2010 11:46:30     27.234 N     66.450 W
08/06/2010 11:48:31     27.235 N     66.451 W
08/06/2010 11:50:31     27.237 N     66.452 W
08/06/2010 11:52:31     27.239 N     66.453 W
08/06/2010 11:54:31     27.241 N     66.454 W
08/06/2010 11:56:30     27.242 N     66.454 W
08/06/2010 11:58:30     27.244 N     66.455 W
08/06/2010 12:00:30     27.246 N     66.456 W
08/06/2010 12:02:30     27.248 N     66.457 W
08/06/2010 12:04:31     27.250 N     66.458 W
08/06/2010 12:06:31     27.252 N     66.459 W
08/06/2010 12:08:31     27.253 N     66.460 W
08/06/2010 12:10:30     27.255 N     66.461 W
08/06/2010 12:12:30     27.257 N     66.462 W
08/06/2010 12:14:30     27.259 N     66.463 W
