Track,for,Gabrielle,2001,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
9/13/2001,11:42:00,24.986,N,84.325,W,1
9/13/2001,11:44:00,24.988,N,84.322,W,1
9/13/2001,11:45:59,24.989,N,84.319,W,1
9/13/2001,11:47:59,24.991,N,84.316,W,1
9/13/2001,11:49:59,24.992,N,84.313,W,1
9/13/2001,11:51:59,24.994,N,84.311,W,1
9/13/2001,11:54:00,24.995,N,84.308,W,1
9/13/2001,11:56:00,24.997,N,84.305,W,1
9/13/2001,11:58:00,24.998,N,84.303,W,1
9/13/2001,12:00:00,25,N,84.3,W,1
9/13/2001,12:01:59,25.001,N,84.297,W,1
9/13/2001,12:03:59,25.002,N,84.295,W,1
9/13/2001,12:05:59,25.003,N,84.292,W,1
9/13/2001,12:08:00,25.004,N,84.289,W,1
9/13/2001,12:10:00,25.006,N,84.287,W,1
9/13/2001,12:12:00,25.007,N,84.284,W,1
9/13/2001,12:14:00,25.008,N,84.281,W,1
9/13/2001,12:15:59,25.009,N,84.279,W,1
9/13/2001,12:17:59,25.01,N,84.276,W,1
9/13/2001,12:19:59,25.011,N,84.274,W,1
9/13/2001,12:21:59,25.013,N,84.271,W,1
9/13/2001,12:24:00,25.014,N,84.269,W,1
9/13/2001,12:26:00,25.015,N,84.266,W,1
9/13/2001,12:28:00,25.016,N,84.264,W,1
9/13/2001,12:30:00,25.017,N,84.261,W,1
9/13/2001,12:31:59,25.018,N,84.259,W,1
9/13/2001,12:33:59,25.02,N,84.257,W,1
9/13/2001,12:35:59,25.021,N,84.254,W,1
9/13/2001,12:38:00,25.022,N,84.252,W,1
9/13/2001,12:40:00,25.023,N,84.25,W,1
9/13/2001,12:42:00,25.024,N,84.248,W,1
9/13/2001,12:44:00,25.025,N,84.245,W,1
9/13/2001,12:45:59,25.027,N,84.243,W,1
9/13/2001,12:47:59,25.028,N,84.241,W,1
9/13/2001,12:49:59,25.029,N,84.239,W,1
9/13/2001,12:51:59,25.03,N,84.237,W,1
9/13/2001,12:54:00,25.032,N,84.235,W,1
9/13/2001,12:56:00,25.033,N,84.233,W,1
9/13/2001,12:58:00,25.034,N,84.23,W,1
9/13/2001,13:00:00,25.035,N,84.228,W,1
9/13/2001,13:01:59,25.036,N,84.226,W,1
9/13/2001,13:03:59,25.038,N,84.224,W,1
9/13/2001,13:05:59,25.039,N,84.222,W,1
9/13/2001,13:08:00,25.04,N,84.221,W,1
9/13/2001,13:10:00,25.041,N,84.219,W,1
9/13/2001,13:12:00,25.043,N,84.217,W,1
9/13/2001,13:14:00,25.044,N,84.215,W,1
9/13/2001,13:15:59,25.045,N,84.213,W,1
9/13/2001,13:17:59,25.046,N,84.211,W,1
9/13/2001,13:19:59,25.048,N,84.21,W,1
9/13/2001,13:21:59,25.049,N,84.208,W,1
9/13/2001,13:24:00,25.05,N,84.206,W,1
9/13/2001,13:26:00,25.052,N,84.204,W,1
9/13/2001,13:28:00,25.053,N,84.203,W,1
9/13/2001,13:30:00,25.054,N,84.201,W,1
9/13/2001,13:31:59,25.055,N,84.2,W,1
9/13/2001,13:33:59,25.057,N,84.198,W,1
9/13/2001,13:35:59,25.058,N,84.196,W,1
9/13/2001,13:38:00,25.059,N,84.195,W,1
9/13/2001,13:40:00,25.061,N,84.193,W,1
9/13/2001,13:42:00,25.062,N,84.192,W,1
9/13/2001,13:44:00,25.063,N,84.19,W,1
9/13/2001,13:45:59,25.065,N,84.189,W,1
9/13/2001,13:47:59,25.066,N,84.188,W,1
9/13/2001,13:49:59,25.067,N,84.186,W,1
9/13/2001,13:51:59,25.069,N,84.185,W,1
9/13/2001,13:54:00,25.07,N,84.184,W,1
9/13/2001,13:56:00,25.071,N,84.182,W,1
9/13/2001,13:58:00,25.073,N,84.181,W,1
9/13/2001,14:00:00,25.074,N,84.18,W,1
9/13/2001,14:01:59,25.075,N,84.179,W,1
9/13/2001,14:03:59,25.077,N,84.178,W,1
9/13/2001,14:05:59,25.078,N,84.176,W,1
9/13/2001,14:08:00,25.079,N,84.175,W,1
9/13/2001,14:10:00,25.081,N,84.174,W,1
9/13/2001,14:12:00,25.082,N,84.173,W,1
9/13/2001,14:14:00,25.084,N,84.172,W,1
9/13/2001,14:15:59,25.085,N,84.171,W,1
9/13/2001,14:17:59,25.086,N,84.17,W,1
